id,Car,Heavy_Vehicles,Motorcycle,Other,Pedalcycle
346573,2,0,0,0,0
346574,1,0,1,0,0
346575,1,0,1,0,0
346576,1,0,0,0,0
346577,0,0,0,0,1
346578,2,0,0,0,0
346579,1,0,0,0,1
346580,1,0,0,0,0
346581,1,0,0,0,0
346582,0,0,1,0,0
346583,1,0,0,0,0
346584,2,1,1,0,0
346585,1,0,0,0,0
346586,2,0,0,0,0
346587,2,1,0,0,0
346588,2,0,0,0,0
346589,1,0,0,0,0
346590,1,0,0,0,0
346591,1,0,1,0,0
346592,1,0,0,0,0
346593,1,0,1,0,0
346594,1,0,0,0,1
346595,2,0,0,0,0
346596,2,0,0,0,0
346597,1,0,1,0,0
346598,0,0,0,0,1
346599,1,0,1,0,0
346600,1,0,1,0,0
346601,2,0,0,0,0
346602,3,0,0,0,0
346603,1,0,0,0,0
346604,0,1,1,0,0
346605,1,0,0,0,0
346606,1,0,1,0,0
346607,1,0,0,0,0
346608,1,0,0,0,0
346609,0,1,0,0,0
346610,1,0,1,0,0
346611,2,0,0,0,0
346612,1,0,0,0,1
346613,1,0,0,0,0
346614,1,0,1,0,0
346615,1,0,0,0,0
346616,1,0,1,0,0
346617,0,0,0,0,1
346618,3,0,0,0,0
346619,1,2,0,0,0
346620,1,0,0,0,0
346621,1,0,0,0,1
346622,1,0,0,1,0
346623,0,0,0,0,2
346624,1,0,0,0,1
346625,1,0,0,0,1
346626,0,1,0,0,0
346627,1,0,1,0,0
346628,1,0,0,0,1
346629,2,0,0,0,0
346630,0,0,1,0,0
346631,1,0,0,0,0
346632,1,1,0,0,0
346633,1,0,0,0,0
346634,2,0,0,0,0
346635,0,1,0,0,0
346636,1,0,1,0,0
346637,2,0,0,0,0
346638,0,1,0,0,0
346639,0,0,2,0,0
346640,1,0,1,0,0
346641,1,1,0,0,0
346642,3,0,0,0,0
346643,1,0,0,0,0
346644,6,0,0,0,0
346645,0,1,0,0,0
346646,1,1,0,0,0
346647,2,0,0,0,0
346648,1,0,0,0,0
346649,0,1,0,0,0
346650,2,0,0,0,0
346651,2,0,0,0,0
346652,2,0,0,0,0
