id,time_of_day
353191,Evening
353192,Midday
353193,Midday
353194,Afternoon
353195,Afternoon
353196,Midday
353197,Early Morning
353198,Afternoon
353199,Midday
353200,Afternoon
353201,Midday
353202,Afternoon
353203,Evening
353204,Afternoon
353205,Afternoon
353206,Afternoon
353207,Afternoon
353208,Evening
353209,Midday
353210,Midday
353211,Afternoon
353212,Evening
353213,Night
353214,Night
353215,Midday
353216,Midday
353217,Afternoon
353218,Evening
353219,Night
353220,Night
353221,Night
353222,Early Morning
353223,Afternoon
353224,Morning
353225,Afternoon
353226,Night
353227,Early Morning
360161,Afternoon
360162,Early Morning
360163,Early Morning
360164,Early Morning
360165,Morning
360166,Evening
360167,Morning
360168,Night
360169,Morning
360170,Early Morning
360171,Early Morning
360172,Morning
360173,Evening
360174,Morning
360175,Morning
360176,Morning
360177,Afternoon
360178,Morning
360179,Morning
360180,Early Morning
360181,Midday
360182,Midday
360183,Midday
360184,Midday
360185,Midday
360186,Midday
360187,Midday
360188,Early Morning
360189,Midday
360190,Midday
360191,Midday
360192,Morning
360193,Afternoon
360194,Afternoon
360195,Midday
360196,Midday
360197,Afternoon
360198,Afternoon
360199,Evening
360200,Afternoon
360201,Afternoon
360202,Evening
360203,Evening
360204,Midday
360205,Evening
360206,Midday
360207,Midday
360208,Evening
360209,Evening
360210,Evening
360211,Evening
360212,Early Morning
360213,Midday
360214,Morning
360215,Midday
360216,Midday
346150,Early Morning
346151,Early Morning
346152,Early Morning
346153,Early Morning
346154,Morning
346155,Morning
346156,Early Morning
346157,Early Morning
346158,Morning
346159,Night
346160,Early Morning
346161,Early Morning
346162,Early Morning
346163,Early Morning
346164,Early Morning
346165,Midday
346166,Midday
346167,Midday
346168,Afternoon
346169,Evening
346170,Night
346171,Midday
346172,Evening
346173,Midday
346174,Early Morning
346175,Afternoon
346176,Evening
346177,Early Morning
346178,Midday
346179,Evening
346180,Afternoon
346181,Evening
346182,Evening
346183,Midday
346184,Morning
346185,Midday
346186,Morning
346187,Afternoon
346188,Midday
346189,Midday
346190,Midday
346191,Evening
346192,Morning
346193,Midday
346194,Afternoon
346195,Morning
346196,Afternoon
346197,Evening
346198,Evening
346199,Night
346200,Night
346201,Night
346202,Night
346203,Night
346204,Morning
346205,Afternoon
346206,Night
362529,Early Morning
362530,Early Morning
362531,Early Morning
362532,Morning
362533,Early Morning
362534,Midday
362535,Morning
362536,Morning
362537,Morning
362538,Midday
362539,Midday
362540,Midday
362541,Midday
362542,Afternoon
362543,Midday
362544,Morning
362545,Morning
362546,Early Morning
362547,Midday
362548,Midday
362549,Early Morning
362550,Evening
362551,Midday
362552,Midday
362553,Midday
362554,Afternoon
362555,Midday
362556,Night
362557,Morning
362558,Midday
362559,Midday
362560,Evening
362561,Midday
362562,Midday
362563,Night
362564,Midday
362565,Midday
362566,Early Morning
362567,Evening
362568,Midday
362569,Midday
362570,Afternoon
362571,Afternoon
362572,Night
362573,Morning
362574,Afternoon
362575,Midday
362576,Afternoon
362577,Afternoon
362578,Evening
362579,Evening
362580,Evening
362581,Night
362582,Afternoon
362583,Evening
362584,Evening
362585,Afternoon
350855,Early Morning
350856,Evening
350857,Morning
350858,Midday
350859,Midday
350860,Afternoon
350861,Morning
350862,Early Morning
350863,Morning
350864,Morning
350865,Evening
350866,Midday
350867,Morning
350868,Midday
350869,Night
350870,Midday
350871,Morning
350872,Morning
350873,Afternoon
350874,Midday
350875,Afternoon
350876,Evening
350877,Midday
350878,Evening
350879,Afternoon
350880,Evening
350881,Evening
350882,Evening
350883,Evening
350884,Evening
350885,Midday
350886,Night
350887,Evening
350888,Night
350889,Night
350890,Afternoon
350891,Afternoon
350892,Evening
350893,Morning
350894,Night
350895,Night
350896,Early Morning
350897,Early Morning
350898,Evening
350899,Night
350900,Early Morning
350901,Night
350902,Night
350903,Early Morning
350904,Early Morning
350905,Evening
350906,Early Morning
350907,Early Morning
350908,Morning
350909,Morning
350910,Early Morning
350911,Morning
355468,Midday
355469,Midday
355470,Midday
355471,Early Morning
355472,Midday
355473,Midday
355474,Midday
355475,Midday
355476,Early Morning
355477,Night
355478,Midday
355479,Midday
355480,Night
355481,Afternoon
355482,Afternoon
355483,Midday
355484,Evening
355485,Afternoon
355486,Evening
355487,Midday
355488,Night
355489,Evening
355490,Night
355491,Afternoon
355492,Evening
355493,Evening
355494,Afternoon
355495,Evening
355496,Midday
355497,Morning
355498,Evening
355499,Night
355500,Early Morning
355501,Night
355502,Night
355503,Night
355504,Early Morning
355505,Early Morning
355506,Night
355507,Early Morning
355508,Afternoon
355509,Early Morning
355510,Early Morning
355511,Midday
355512,Evening
355513,Early Morning
355514,Early Morning
355515,Early Morning
355516,Morning
355517,Morning
355518,Early Morning
355519,Early Morning
355520,Afternoon
355521,Early Morning
355522,Early Morning
355523,Night
355524,Early Morning
364899,Afternoon
364900,Midday
364901,Afternoon
364902,Morning
364903,Early Morning
364904,Evening
364905,Afternoon
364906,Early Morning
364907,Midday
364908,Night
364909,Night
364910,Night
364911,Evening
364912,Evening
364913,Night
364914,Night
364915,Night
364916,Night
364917,Evening
364918,Night
364919,Evening
364920,Evening
364921,Evening
364922,Night
364923,Early Morning
364924,Night
364925,Night
364926,Night
364927,Early Morning
364928,Night
364929,Night
364930,Evening
364931,Early Morning
364932,Early Morning
364933,Evening
364934,Early Morning
364935,Early Morning
364936,Night
364937,Early Morning
364938,Early Morning
364939,Early Morning
364940,Early Morning
364941,Early Morning
364942,Morning
364943,Morning
364944,Morning
364945,Morning
364946,Morning
364947,Evening
364948,Morning
364949,Early Morning
364950,Midday
364951,Midday
364952,Midday
364953,Morning
364954,Midday
364955,Midday
357843,Midday
357844,Morning
357845,Morning
357846,Early Morning
357847,Afternoon
357848,Midday
357849,Evening
357850,Midday
357851,Midday
357852,Evening
357853,Morning
357854,Early Morning
357855,Early Morning
357856,Night
357857,Midday
357858,Midday
357859,Afternoon
357860,Midday
357861,Night
357862,Afternoon
357863,Early Morning
357864,Midday
357865,Afternoon
357866,Morning
357867,Midday
357868,Afternoon
357869,Afternoon
357870,Afternoon
357871,Midday
357872,Midday
357873,Early Morning
357874,Midday
357875,Afternoon
357876,Midday
357877,Evening
357878,Evening
357879,Midday
357880,Evening
357881,Evening
357882,Evening
357883,Afternoon
357884,Evening
357885,Evening
357886,Early Morning
357887,Afternoon
357888,Night
357889,Evening
357890,Evening
357891,Night
357892,Evening
357893,Evening
357894,Night
357895,Evening
357896,Night
357897,Afternoon
357898,Early Morning
348535,Early Morning
348536,Afternoon
348537,Evening
348538,Midday
348539,Evening
348540,Evening
348541,Night
348542,Afternoon
348543,Afternoon
348544,Early Morning
348545,Night
348546,Morning
348547,Early Morning
348548,Night
348549,Night
348550,Early Morning
348551,Early Morning
348552,Early Morning
348553,Early Morning
348554,Early Morning
348555,Morning
348556,Early Morning
348557,Midday
348558,Early Morning
348559,Morning
348560,Midday
348561,Early Morning
348562,Morning
348563,Morning
348564,Afternoon
348565,Morning
348566,Night
348567,Evening
348568,Midday
348569,Early Morning
348570,Early Morning
348571,Evening
348572,Early Morning
348573,Early Morning
348574,Early Morning
348575,Morning
348576,Morning
348577,Afternoon
348578,Midday
348579,Afternoon
348580,Midday
348581,Midday
348582,Afternoon
348583,Evening
348584,Afternoon
348585,Midday
348586,Afternoon
348587,Morning
348588,Afternoon
348589,Night
348590,Evening
348591,Night
353228,Afternoon
353229,Early Morning
353230,Early Morning
353231,Afternoon
353232,Early Morning
353233,Morning
353234,Morning
353235,Early Morning
353236,Morning
353237,Morning
353238,Early Morning
353239,Morning
353240,Night
353241,Morning
353242,Morning
353243,Morning
353244,Midday
353245,Early Morning
353246,Morning
353247,Evening
353248,Evening
353249,Midday
353250,Midday
353251,Midday
353252,Midday
353253,Midday
353254,Early Morning
353255,Morning
353256,Evening
353257,Midday
353258,Midday
353259,Midday
353260,Midday
353261,Early Morning
353262,Midday
353263,Early Morning
353264,Morning
353265,Afternoon
353266,Afternoon
353267,Evening
353268,Afternoon
353269,Midday
353270,Evening
353271,Evening
353272,Afternoon
353273,Evening
353274,Afternoon
353275,Afternoon
353276,Night
353277,Midday
353278,Night
353279,Evening
353280,Evening
353281,Night
353282,Night
353283,Evening
353284,Afternoon
360217,Midday
360218,Night
360219,Night
360220,Afternoon
360221,Evening
360222,Morning
360223,Early Morning
360224,Evening
360225,Afternoon
360226,Evening
360227,Evening
360228,Morning
360229,Night
360230,Night
360231,Night
360232,Early Morning
360233,Early Morning
360234,Night
360235,Afternoon
360236,Morning
360237,Early Morning
360238,Evening
360239,Early Morning
360240,Early Morning
360241,Early Morning
360242,Early Morning
360243,Morning
360244,Morning
360245,Night
360246,Afternoon
360247,Early Morning
360248,Morning
360249,Afternoon
360250,Morning
360251,Morning
360252,Morning
360253,Afternoon
360254,Midday
360255,Early Morning
360256,Midday
360257,Midday
360258,Midday
360259,Midday
360260,Early Morning
360261,Midday
360262,Morning
360263,Midday
360264,Morning
360265,Midday
360266,Midday
360267,Midday
360268,Night
360269,Evening
360270,Afternoon
360271,Morning
360272,Afternoon
346207,Night
346208,Night
346209,Night
346210,Night
346211,Night
346212,Early Morning
346213,Midday
346214,Early Morning
346215,Early Morning
346216,Early Morning
346217,Early Morning
346218,Early Morning
346219,Early Morning
346220,Early Morning
346221,Early Morning
346222,Early Morning
346223,Early Morning
346224,Morning
346225,Midday
346226,Morning
346227,Morning
346228,Early Morning
346229,Morning
346230,Midday
346231,Midday
346232,Evening
346233,Early Morning
346234,Early Morning
346235,Early Morning
346236,Midday
346237,Early Morning
346238,Morning
346239,Afternoon
346240,Afternoon
346241,Afternoon
346242,Midday
346243,Midday
346244,Midday
346245,Afternoon
346246,Midday
346247,Afternoon
346248,Afternoon
346249,Afternoon
346250,Afternoon
346251,Afternoon
346252,Afternoon
346253,Afternoon
346254,Evening
346255,Evening
346256,Midday
346257,Afternoon
346258,Evening
346259,Evening
346260,Night
346261,Midday
346262,Evening
346263,Midday
362586,Early Morning
362587,Midday
362588,Night
362589,Night
362590,Night
362591,Early Morning
362592,Night
362593,Night
362594,Night
362595,Early Morning
362596,Evening
362597,Early Morning
362598,Early Morning
362599,Early Morning
362600,Early Morning
362601,Early Morning
362602,Evening
362603,Early Morning
362604,Early Morning
362605,Morning
362606,Morning
362607,Early Morning
362608,Early Morning
362609,Early Morning
362610,Afternoon
362611,Midday
362612,Morning
362613,Midday
362614,Midday
362615,Morning
362616,Midday
362617,Early Morning
362618,Midday
362619,Midday
362620,Morning
362621,Early Morning
362622,Morning
362623,Midday
362624,Early Morning
362625,Midday
362626,Evening
362627,Evening
362628,Midday
362629,Midday
362630,Midday
362631,Afternoon
362632,Afternoon
362633,Midday
362634,Afternoon
362635,Midday
362636,Midday
362637,Midday
362638,Afternoon
362639,Morning
362640,Midday
362641,Afternoon
362642,Afternoon
350912,Afternoon
350913,Early Morning
350914,Midday
350915,Morning
350916,Early Morning
350917,Morning
350918,Midday
350919,Midday
350920,Midday
350921,Midday
350922,Afternoon
350923,Midday
350924,Afternoon
350925,Afternoon
350926,Afternoon
350927,Evening
350928,Evening
350929,Evening
350930,Evening
350931,Midday
350932,Early Morning
350933,Evening
350934,Midday
350935,Midday
350936,Midday
350937,Night
350938,Midday
350939,Night
350940,Night
350941,Night
350942,Afternoon
350943,Evening
350944,Early Morning
350945,Night
350946,Early Morning
350947,Early Morning
350948,Night
350949,Night
350950,Early Morning
350951,Early Morning
350952,Evening
350953,Midday
350954,Early Morning
350955,Early Morning
350956,Early Morning
350957,Midday
350958,Midday
350959,Morning
350960,Early Morning
350961,Morning
350962,Early Morning
350963,Midday
350964,Morning
350965,Midday
350966,Night
350967,Early Morning
350968,Morning
355525,Evening
355526,Morning
355527,Morning
355528,Early Morning
355529,Midday
355530,Morning
355531,Afternoon
355532,Midday
355533,Midday
355534,Early Morning
355535,Midday
355536,Early Morning
355537,Midday
355538,Afternoon
355539,Afternoon
355540,Midday
355541,Midday
355542,Night
355543,Midday
355544,Midday
355545,Midday
355546,Evening
355547,Afternoon
355548,Afternoon
355549,Evening
355550,Midday
355551,Morning
355552,Early Morning
355553,Midday
355554,Afternoon
355555,Evening
355556,Evening
355557,Morning
355558,Midday
355559,Afternoon
355560,Evening
355561,Night
355562,Evening
355563,Evening
355564,Night
355565,Night
355566,Night
355567,Night
355568,Night
355569,Early Morning
355570,Night
355571,Night
355572,Early Morning
355573,Early Morning
355574,Early Morning
355575,Night
355576,Early Morning
355577,Evening
355578,Early Morning
355579,Early Morning
355580,Morning
355581,Morning
350969,Midday
350970,Morning
350971,Midday
350972,Morning
350973,Night
350974,Early Morning
350975,Midday
350976,Midday
350977,Night
350978,Early Morning
350979,Afternoon
350980,Midday
350981,Midday
350982,Night
350983,Midday
350984,Afternoon
350985,Midday
350986,Afternoon
350987,Afternoon
350988,Midday
350989,Afternoon
350990,Evening
350991,Evening
350992,Midday
350993,Evening
350994,Afternoon
350995,Evening
350996,Evening
350997,Early Morning
350998,Evening
350999,Evening
351000,Evening
351001,Afternoon
351002,Midday
351003,Evening
351004,Evening
351005,Evening
351006,Afternoon
351007,Afternoon
351008,Night
351009,Night
351010,Morning
351011,Night
351012,Night
351013,Evening
351014,Early Morning
351015,Night
351016,Early Morning
351017,Early Morning
351018,Midday
351019,Early Morning
351020,Early Morning
351021,Morning
351022,Midday
351023,Early Morning
351024,Early Morning
367278,Afternoon
367279,Evening
367280,Evening
367281,Afternoon
367282,Afternoon
367283,Night
367284,Night
367285,Early Morning
367286,Early Morning
367287,Night
