id,lat,lon,severity,time_of_day_Night,time_of_day_Morning,time_of_day_Afternoon,time_of_day_Evening,month,day_of_week,risk_level_encoded
346045,51.573334,0.151084,0,0,0,1,0,1,6,0
346046,51.555497,0.066327,0,0,0,1,0,1,6,0
346047,51.466297,-0.113368,0,0,1,0,0,1,0,2
346048,51.592309,-0.063137,0,0,1,0,0,1,0,1
346049,51.476943,-0.099983,0,0,1,0,0,1,0,2
346050,51.537064,0.102609,0,0,1,0,0,1,0,0
346051,51.630165,0.0013,0,0,1,0,0,1,0,0
346052,51.539814,-0.139444,0,0,1,0,0,1,0,2
346053,51.352086,-0.143512,0,0,0,0,1,1,5,0
346054,51.451269,-0.147724,2,0,1,0,0,1,0,2
346055,51.461532,-0.13821,0,0,0,0,1,1,5,2
346056,51.568072,-0.111582,1,0,1,0,0,1,0,1
346057,51.527334,-0.131073,0,0,1,0,0,1,0,2
346058,51.532656,0.107221,0,0,1,0,0,1,0,0
346059,51.567132,-0.037325,0,0,1,0,0,1,0,0
346060,51.463896,-0.132471,0,0,1,0,0,1,0,2
346061,51.523707,-0.071484,0,0,0,1,0,1,0,2
346062,51.451745,-0.216069,0,0,0,1,0,1,0,2
346063,51.548759,-0.191075,0,0,1,0,0,1,0,2
346064,51.379761,-0.171276,0,0,1,0,0,1,0,0
346065,51.352778,-0.132181,1,0,0,1,0,1,0,0
346066,51.425048,-0.130833,0,0,0,1,0,1,0,2
346067,51.661823,-0.02871,0,0,0,1,0,1,0,1
346068,51.42737,0.019226,0,0,0,1,0,1,0,1
346069,51.516312,-0.155118,0,0,0,0,1,1,6,2
346070,51.481348,-0.442619,0,0,1,0,0,1,0,1
346071,51.465197,-0.113802,0,0,0,1,0,1,0,2
346072,51.557072,-0.134484,0,0,1,0,0,1,0,1
346073,51.506628,-0.378485,0,0,0,1,0,1,0,2
346074,51.556532,-0.253042,0,0,0,0,1,1,0,1
348404,51.52122,-0.416467,1,0,1,0,0,2,3,1
348405,51.508769,-0.009485,0,0,1,0,0,2,3,2
348406,51.512618,-0.121284,0,0,0,0,1,2,5,2
348407,51.540571,-0.172163,0,0,0,0,1,2,3,2
348408,51.461602,-0.01053,0,0,0,0,1,2,3,1
348409,51.435026,-0.009858,0,0,0,1,0,2,3,1
348410,51.572664,-0.069903,0,0,1,0,0,2,3,2
348411,51.595142,-0.108915,1,0,0,1,0,2,5,1
348412,51.462465,0.08923,0,0,0,1,0,2,3,0
348413,51.408466,-0.307133,0,0,1,0,0,2,3,0
348414,51.516226,-0.181886,0,0,1,0,0,1,4,2
348415,51.480164,-0.139857,0,0,1,0,0,2,3,2
348416,51.496715,-0.144715,0,0,0,0,1,2,2,2
348417,51.486661,0.032172,0,0,0,0,1,2,3,0
