id,casualty_age_0-23,casualty_age_24-30,casualty_age_31-38,casualty_age_39-50,casualty_age_50+
346181,0,0,1,0,0
346182,0,0,0,0,1
346183,1,0,0,0,0
346184,0,1,0,0,0
346185,0,0,0,0,1
346186,0,0,0,0,1
346187,1,0,0,0,0
346188,0,0,0,0,1
346189,0,0,1,0,0
346190,1,0,0,0,0
346191,0,0,0,0,1
346192,0,0,0,1,0
346193,1,0,0,0,0
346194,0,0,0,1,0
346195,1,0,0,0,0
346196,0,0,0,0,1
346197,0,0,0,1,1
346198,0,1,0,0,0
346199,0,1,0,0,0
346200,0,0,1,0,0
346201,0,1,0,1,0
346202,0,0,0,1,0
346203,0,0,0,0,1
346204,0,0,0,0,1
346205,1,0,0,0,0
346206,0,2,0,0,0
346207,0,0,1,0,0
346208,1,1,0,0,0
346209,0,1,0,0,0
346210,1,0,0,0,0
346211,0,1,0,0,0
346212,1,0,0,0,0
346213,0,0,1,0,0
346214,0,0,0,1,0
346215,0,0,0,1,0
346216,0,0,0,0,1
346217,0,0,1,0,0
346218,1,0,0,0,0
346219,0,1,0,1,1
346220,0,0,1,0,0
346221,0,1,0,0,0
346222,0,0,1,0,0
346223,0,0,0,1,0
346224,1,0,0,0,0
346225,1,0,0,0,0
346226,0,0,0,0,1
346227,0,0,0,1,0
346228,0,0,1,0,0
346229,0,0,1,0,1
346230,0,0,0,1,0
346231,1,0,0,0,0
346232,0,2,0,0,0
346233,0,0,0,0,1
346234,0,0,1,0,0
346235,0,0,1,0,1
346236,0,1,0,0,0
346237,0,1,0,0,0
346238,0,0,1,0,0
346239,0,0,1,0,0
346240,0,0,0,1,0
346241,0,0,1,0,0
346242,0,0,0,0,1
346243,0,0,0,1,0
346244,1,0,0,0,0
346245,0,0,1,0,0
346246,0,0,0,0,0
346247,0,1,0,0,0
346248,0,0,0,0,1
346249,0,0,0,1,0
346250,0,2,0,0,0
346251,0,0,1,0,0
346252,0,0,0,0,1
346253,0,0,0,0,1
346254,0,1,0,0,0
346255,0,0,0,0,1
346256,0,0,1,0,0
346257,0,0,0,0,1
346258,1,0,0,0,0
346259,0,0,0,1,0
346260,0,0,0,1,0
346261,0,0,1,0,0
346262,0,0,2,0,0
346263,0,1,0,0,0
346264,0,0,0,0,1
346265,0,0,0,1,1
346266,1,0,0,0,0
346267,1,0,0,0,0
346268,1,0,0,0,0
346269,0,0,0,1,0
346270,0,0,1,0,0
346271,1,0,0,0,0
346272,0,1,0,0,0
346273,0,0,0,1,0
346274,1,0,0,0,0
346275,0,0,0,1,0
346276,2,0,0,0,0
346277,0,0,0,1,0
346278,0,1,0,0,0
346279,0,1,0,1,0
346280,0,1,0,0,0
346281,1,0,0,0,0
346282,1,0,0,0,0
346283,0,0,0,0,1
346284,0,0,1,0,0
346285,0,1,0,0,0
346286,0,0,0,1,0
346287,0,0,0,0,1
346288,0,1,0,0,0
346289,0,0,0,0,1
346290,1,0,0,0,0
346291,0,0,1,1,0
346292,0,1,0,0,0
346293,0,0,0,1,0
346294,0,0,0,0,1
346295,0,1,0,1,0
346296,0,0,0,0,1
346297,0,0,1,0,0
346298,1,0,0,0,0
346299,0,0,0,0,1
346300,1,0,0,0,0
346301,0,1,0,0,0
346302,0,0,0,0,1
346303,1,0,0,0,0
346304,0,1,0,0,0
346305,1,0,0,0,0
346306,0,0,0,1,0
346307,0,0,1,0,0
346308,0,3,0,0,0
346309,0,0,0,0,1
346310,0,0,0,0,1
346311,0,0,1,0,0
346312,0,0,0,0,1
346313,0,1,0,0,0
346314,0,1,0,0,0
346315,1,0,0,0,0
346316,0,1,0,0,0
346317,0,0,0,1,0
346318,1,0,0,0,0
346319,0,0,0,0,1
346320,0,1,0,0,0
